experiment,seed,value,accuracy,rate_accuracy,miss_rate,loss,loss_paper,input_log_likelihood,confusion_matrix_str
inhibition_rest_classic,5464,100,0.24,0.49,0.22,0.7368599336917876,0.43377297031365936,-192.82954418266894,"[[1. 3. 0. 1. 0. 0. 2. 0. 3. 0. 0.]
 [3. 0. 3. 1. 0. 0. 0. 0. 1. 0. 2.]
 [4. 1. 0. 2. 0. 0. 0. 0. 0. 1. 2.]
 [1. 1. 0. 2. 2. 0. 0. 0. 2. 1. 1.]
 [2. 2. 0. 0. 0. 0. 3. 0. 1. 1. 1.]
 [3. 0. 0. 1. 0. 0. 4. 0. 1. 0. 1.]
 [2. 4. 0. 0. 0. 0. 1. 0. 1. 0. 2.]
 [2. 0. 0. 0. 0. 0. 3. 0. 1. 2. 2.]
 [4. 1. 1. 0. 0. 0. 0. 0. 1. 3. 0.]
 [0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 6.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,100,0.16,0.37,0.24,0.7514706946833574,0.43794237350890913,-194.73297559711747,"[[2. 3. 1. 1. 0. 1. 0. 1. 1. 0. 0.]
 [2. 1. 7. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 1. 3. 0. 0. 1. 0. 0. 2. 0. 1.]
 [0. 3. 1. 1. 1. 0. 0. 2. 2. 0. 0.]
 [5. 0. 1. 0. 0. 0. 2. 0. 0. 0. 2.]
 [3. 1. 2. 0. 1. 1. 1. 0. 0. 0. 1.]
 [1. 2. 3. 0. 0. 1. 0. 2. 1. 0. 0.]
 [2. 1. 3. 1. 1. 0. 0. 0. 1. 0. 1.]
 [3. 2. 2. 0. 0. 0. 2. 0. 1. 0. 0.]
 [4. 1. 0. 0. 1. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,100,0.12,0.45,0.34,0.725884269958268,0.42797924985865327,-194.66960551916407,"[[1. 1. 0. 1. 0. 1. 1. 0. 2. 0. 3.]
 [4. 0. 0. 2. 1. 0. 3. 0. 0. 0. 0.]
 [2. 2. 0. 6. 0. 0. 0. 0. 0. 0. 0.]
 [4. 1. 0. 0. 1. 0. 1. 1. 2. 0. 0.]
 [5. 1. 0. 0. 0. 0. 2. 0. 0. 0. 2.]
 [4. 1. 0. 0. 0. 1. 0. 0. 2. 0. 2.]
 [2. 2. 0. 3. 1. 1. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2. 0. 2. 3. 0. 2.]
 [4. 1. 0. 2. 0. 0. 0. 1. 1. 0. 1.]
 [7. 1. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,100,0.14,0.38,0.23,0.7855414771514907,0.4519813398311633,-195.16051544865257,"[[4. 0. 0. 0. 3. 0. 0. 3. 0. 0. 0.]
 [3. 1. 0. 0. 3. 0. 0. 1. 1. 0. 1.]
 [0. 4. 1. 0. 2. 0. 0. 0. 3. 0. 0.]
 [3. 2. 0. 0. 4. 0. 0. 1. 0. 0. 0.]
 [2. 1. 2. 0. 2. 0. 0. 1. 0. 0. 2.]
 [4. 0. 0. 0. 2. 0. 0. 1. 2. 0. 1.]
 [1. 0. 1. 0. 3. 0. 0. 4. 1. 0. 0.]
 [1. 0. 1. 0. 1. 0. 0. 0. 5. 0. 2.]
 [1. 0. 2. 0. 1. 0. 0. 4. 2. 0. 0.]
 [4. 1. 0. 0. 0. 0. 0. 1. 3. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,100,0.12,0.3,0.27,0.7426058751117127,0.4296811535239928,-196.52231528981503,"[[2. 2. 2. 0. 0. 2. 1. 0. 0. 1. 0.]
 [1. 0. 2. 0. 0. 0. 0. 0. 6. 1. 0.]
 [3. 3. 1. 0. 0. 0. 0. 0. 0. 3. 0.]
 [5. 1. 0. 0. 1. 0. 2. 0. 1. 0. 0.]
 [3. 3. 0. 0. 0. 0. 1. 0. 3. 0. 0.]
 [2. 1. 2. 0. 0. 0. 1. 0. 2. 2. 0.]
 [2. 3. 1. 0. 2. 1. 0. 0. 1. 0. 0.]
 [5. 0. 0. 0. 0. 0. 1. 0. 4. 0. 0.]
 [2. 2. 2. 0. 0. 0. 1. 0. 1. 2. 0.]
 [2. 1. 1. 0. 1. 1. 1. 0. 1. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,125,0.17,0.54,0.38,0.7152271496809274,0.4291393892522438,-194.9445329553432,"[[4. 1. 1. 0. 2. 1. 0. 0. 0. 0. 1.]
 [4. 2. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
 [6. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1.]
 [2. 0. 0. 0. 4. 0. 0. 0. 0. 3. 1.]
 [4. 1. 1. 0. 1. 2. 1. 0. 0. 0. 0.]
 [4. 0. 1. 0. 0. 0. 2. 0. 0. 3. 0.]
 [4. 0. 2. 0. 0. 2. 0. 0. 0. 2. 0.]
 [3. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1.]
 [6. 0. 1. 0. 0. 1. 0. 0. 0. 2. 0.]
 [1. 0. 4. 0. 0. 0. 0. 0. 1. 0. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,125,0.15,0.35,0.39,0.6910967180471796,0.41904997962175367,-196.29732671651925,"[[3. 0. 0. 0. 2. 0. 0. 2. 0. 2. 1.]
 [2. 0. 1. 0. 3. 0. 0. 0. 0. 4. 0.]
 [4. 0. 1. 2. 1. 0. 0. 2. 0. 0. 0.]
 [3. 0. 1. 0. 3. 0. 0. 0. 1. 1. 1.]
 [6. 0. 0. 0. 2. 0. 0. 1. 0. 0. 1.]
 [5. 0. 0. 0. 1. 0. 0. 0. 0. 2. 2.]
 [3. 0. 2. 1. 0. 0. 0. 3. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0. 0. 0. 1. 3. 3.]
 [4. 0. 0. 0. 1. 0. 0. 0. 0. 3. 2.]
 [6. 0. 0. 0. 1. 0. 0. 1. 0. 0. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,125,0.09,0.23,0.46,0.6999141027644918,0.40966243301377653,-198.25774414033935,"[[2. 1. 2. 0. 1. 2. 0. 1. 1. 0. 0.]
 [4. 0. 2. 1. 0. 1. 0. 1. 1. 0. 0.]
 [4. 1. 1. 1. 2. 0. 0. 0. 0. 1. 0.]
 [4. 0. 1. 1. 0. 0. 0. 1. 2. 1. 0.]
 [8. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0.]
 [5. 0. 0. 1. 2. 0. 0. 2. 0. 0. 0.]
 [4. 0. 3. 1. 0. 0. 0. 1. 1. 0. 0.]
 [3. 2. 0. 1. 2. 1. 0. 0. 1. 0. 0.]
 [6. 0. 1. 1. 0. 0. 0. 0. 0. 2. 0.]
 [6. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,125,0.05,0.31,0.38,0.7547750666195768,0.453839802886058,-196.51253837208853,"[[3. 3. 0. 0. 0. 2. 0. 1. 0. 0. 1.]
 [3. 1. 0. 0. 0. 3. 1. 1. 0. 0. 1.]
 [6. 3. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [6. 2. 0. 0. 0. 0. 0. 2. 0. 0. 0.]
 [3. 1. 0. 0. 0. 0. 2. 3. 0. 0. 1.]
 [4. 1. 0. 0. 0. 1. 0. 4. 0. 0. 0.]
 [4. 1. 0. 0. 0. 2. 0. 2. 0. 0. 1.]
 [2. 1. 0. 0. 0. 2. 0. 2. 0. 0. 3.]
 [2. 1. 0. 0. 0. 1. 1. 3. 0. 0. 2.]
 [5. 0. 0. 0. 0. 2. 1. 2. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,125,0.1,0.38,0.42,0.7104776777064058,0.41911511189047446,-198.43028895195653,"[[5. 1. 0. 0. 0. 0. 0. 0. 3. 1. 0.]
 [1. 0. 2. 3. 0. 0. 0. 0. 1. 3. 0.]
 [4. 0. 0. 2. 0. 0. 2. 0. 0. 2. 0.]
 [6. 1. 0. 1. 0. 0. 2. 0. 0. 0. 0.]
 [4. 2. 0. 0. 0. 0. 4. 0. 0. 0. 0.]
 [3. 1. 0. 3. 0. 0. 3. 0. 0. 0. 0.]
 [4. 2. 0. 0. 0. 0. 2. 0. 1. 1. 0.]
 [8. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0.]
 [3. 1. 0. 3. 0. 0. 2. 0. 0. 1. 0.]
 [4. 1. 1. 0. 0. 0. 2. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
